Date,Daily Close,Daily Returns,% Change ,Volatility ,Annualised Volatility,,
12-11-2025,1.15974,0.004958008,0.495800783,0.152565532,2.421902731,,
13-11-2025,1.16549,-0.000214502,-0.021450205,0.154351961,2.450261416,,
14-11-2025,1.16524,-0.00241152,-0.241152037,0.156224638,2.479989244,,
16-11-2025,1.16243,-0.000860267,-0.086026685,0.158175519,2.510958514,,
17-11-2025,1.16143,-0.000611315,-0.061131536,0.160195339,2.543022168,,
18-11-2025,1.16072,-0.00087015,-0.087014956,0.162293526,2.57632985,,
19-11-2025,1.15971,-0.004190703,-0.419070285,0.164477515,2.610999612,,
20-11-2025,1.15485,0.000268433,0.026843313,0.16676623,2.647331827,,
21-11-2025,1.15516,-0.002614356,-0.261435645,0.169133059,2.684904069,,
23-11-2025,1.15214,0.002421581,0.242158071,0.171617702,2.724346563,,
24-11-2025,1.15493,0.003610608,0.361060844,0.174188462,2.765156107,,
25-11-2025,1.1591,0.001906652,0.190665171,0.176870968,2.807739572,,
26-11-2025,1.16131,-0.000654433,-0.065443336,0.179692252,2.852526071,,
27-11-2025,1.16055,0.000163715,0.016371548,0.182669205,2.899783735,,
28-11-2025,1.16074,0.00064614,0.064613953,0.185793897,2.949386675,,
30-11-2025,1.16149,0.003133906,0.313390559,0.189081262,3.001571976,,
01-12-2025,1.16513,-0.000841108,-0.084110786,0.192530377,3.056324982,,
02-12-2025,1.16415,0.003092385,0.3092385,0.196207177,3.114692377,,
03-12-2025,1.16775,0.000351103,0.035110255,0.20006964,3.176007073,,
04-12-2025,1.16816,-0.000881729,-0.088172853,0.204194676,3.241489994,,
05-12-2025,1.16713,-0.00138802,-0.138802019,0.208597384,3.311380816,,
07-12-2025,1.16551,0.00133847,0.133846985,0.213302747,3.386076139,,
08-12-2025,1.16707,-0.001208154,-0.120815375,0.218312226,3.465599149,,
09-12-2025,1.16566,0.004323731,0.432373076,0.223721802,3.551473511,,
10-12-2025,1.1707,0.004706586,0.47065858,0.229482573,3.642922907,,
11-12-2025,1.17621,-0.001079739,-0.107973916,0.235706439,3.741723716,,
12-12-2025,1.17494,-0.000408531,-0.04085315,0.24255586,3.850454915,,
14-12-2025,1.17446,0.002034978,0.203497778,0.250028438,3.969078405,,
15-12-2025,1.17685,0.002999533,0.299953265,0.258191609,4.098664733,,
16-12-2025,1.18038,-0.003905522,-0.390552195,0.267189324,4.241499031,,
17-12-2025,1.17577,0.000195616,0.019561649,0.277356742,4.402901786,,
18-12-2025,1.176,-0.001938776,-0.193877551,0.288676984,4.58260505,,
19-12-2025,1.17372,-0.001380227,-0.138022697,0.301570613,4.787285074,,
21-12-2025,1.1721,0.005042232,0.504223189,0.316344187,5.021808279,,
22-12-2025,1.17801,0.002334445,0.233444538,0.333255915,5.290273637,,
23-12-2025,1.18076,-0.00038111,-0.038111047,0.353339839,5.609096049,,
24-12-2025,1.18031,-0.000855707,-0.08557074,0.377722023,5.99615122,,
25-12-2025,1.1793,0.000262868,0.02628678,0.408003768,6.476859021,,
26-12-2025,1.17961,-0.000864693,-0.086469257,0.446848949,7.093507162,,
28-12-2025,1.17859,0.000203633,0.020363315,0.499600357,7.930909799,,
29-12-2025,1.17883,-0.000763469,-0.076346886,0.576598325,9.153214652,,
30-12-2025,1.17793,-0.001842215,-0.184221473,0.705804139,11.20429335,,
31-12-2025,1.17576,-1,-100,#DIV/0!,#DIV/0!,,
